ID,time,Observation,Observation_simBlq,popPred,indivPredMean,indivPredMode,censored,split,color,filter
29,28,1156,1156,27.2322,31.5133,31.1578,0,All,#4682B4,0
29,30,1565.99,1565.99,34.48,40.3185,39.8316,0,All,#4682B4,0
29,33,1702.25,1702.25,49.1227,58.3461,57.5714,0,All,#4682B4,0
29,34,1332.76,1332.76,55.273,65.9958,65.0929,0,All,#4682B4,0
30,14,362.172,362.172,5.21933,5.73482,5.63615,0,All,#4682B4,0
30,16,465.869,465.869,6.61039,7.36166,7.21708,0,All,#4682B4,0
30,19,431.103,431.103,9.41766,10.7018,10.4527,0,All,#4682B4,0
30,21,549.99,549.99,11.9239,13.7335,13.3806,0,All,#4682B4,0
30,23,866.117,866.117,15.0971,17.6236,17.1282,0,All,#4682B4,0
30,26,970.033,970.033,21.5082,25.6199,24.8073,0,All,#4682B4,0
30,28,941.481,941.481,27.2322,32.8773,31.7556,0,All,#4682B4,0
30,30,1579.42,1579.42,34.48,42.1908,40.6507,0,All,#4682B4,0
30,33,2169.58,2169.58,49.1227,61.3335,58.8751,0,All,#4682B4,0
30,34,1429.82,1429.82,55.273,69.4803,66.6124,0,All,#4682B4,0
31,14,151.217,151.217,5.21933,5.41254,5.37265,0,All,#4682B4,0
31,16,343.254,343.254,6.61039,6.89078,6.83278,0,All,#4682B4,0
31,19,378.444,378.444,9.41766,9.8939,9.79507,0,All,#4682B4,0
31,21,629.958,629.958,11.9239,12.5922,12.4532,0,All,#4682B4,0
31,23,765.333,765.333,15.0971,16.0261,15.8325,0,All,#4682B4,0
31,26,990.541,990.541,21.5082,23.0104,22.6965,0,All,#4682B4,0
31,28,913.877,913.877,27.2322,29.2857,28.8556,0,All,#4682B4,0
31,30,1533.98,1533.98,34.48,37.2732,36.6871,0,All,#4682B4,0
31,33,1843.44,1843.44,49.1227,53.5172,52.5923,0,All,#4682B4,0
31,34,1381.17,1381.17,55.273,60.3746,59.2996,0,All,#4682B4,0
32,14,69.171,69.171,5.21933,5.01883,4.91425,0,All,#4682B4,0
32,16,182.773,182.773,6.61039,6.32096,6.17064,0,All,#4682B4,0
32,19,330.865,330.865,9.41766,8.93008,8.67847,0,All,#4682B4,0
32,21,372.006,372.006,11.9239,11.2435,10.8938,0,All,#4682B4,0
32,23,866.717,866.717,15.0971,14.1561,13.6747,0,All,#4682B4,0
32,26,880.606,880.606,21.5082,19.9989,19.2318,0,All,#4682B4,0
32,28,624.262,624.262,27.2322,25.1801,24.1417,0,All,#4682B4,0
32,30,767.936,767.936,34.48,31.7035,30.3045,0,All,#4682B4,0
32,33,1034.18,1034.18,49.1227,44.7896,42.6203,0,All,#4682B4,0
32,34,707.507,707.507,55.273,50.2571,47.7517,0,All,#4682B4,0
33,11,56.79,56.79,3.66351,3.36445,3.38267,0,All,#4682B4,0
33,12,48.76,48.76,4.12295,3.75718,3.77938,0,All,#4682B4,0
33,13,59.59,59.59,4.63991,4.19563,4.22249,0,All,#4682B4,0
33,14,105.97,105.97,5.22094,4.68464,4.71695,0,All,#4682B4,0
33,17,202.58,202.58,7.43817,6.52086,6.57552,0,All,#4682B4,0
33,18,252.81,252.81,8.36956,7.28085,7.34547,0,All,#4682B4,0
33,19,266.9,266.9,9.41765,8.12943,8.20562,0,All,#4682B4,0
33,20,437.44,437.44,10.5968,9.07678,9.16634,0,All,#4682B4,0
33,25,679.79,679.79,19.1146,15.7512,15.9457,0,All,#4682B4,0
33,26,425.72,425.72,21.5082,17.5866,17.8126,0,All,#4682B4,0
33,27,785.82,785.82,24.2019,19.6363,19.8984,0,All,#4682B4,0
33,28,795.67,795.67,27.2321,21.9252,22.2287,0,All,#4682B4,0
33,32,1101.41,1101.41,43.6553,34.0755,34.615,0,All,#4682B4,0
33,33,1257.28,1257.28,49.1224,38.0466,38.668,0,All,#4682B4,0
33,34,1260.9,1260.9,55.2726,42.4813,43.1964,0,All,#4682B4,0
34,11,0,0,3.66351,3.36349,3.38383,0,All,#4682B4,0
34,12,71.36,71.36,4.12295,3.75602,3.78081,0,All,#4682B4,0
34,13,172.99,172.99,4.63991,4.19422,4.22422,0,All,#4682B4,0
34,14,168.64,168.64,5.22094,4.68295,4.71902,0,All,#4682B4,0
34,17,246.23,246.23,7.43817,6.51801,6.57902,0,All,#4682B4,0
34,18,268.62,268.62,8.36956,7.27747,7.34962,0,All,#4682B4,0
34,19,305.92,305.92,9.41765,8.12545,8.21051,0,All,#4682B4,0
34,20,334.46,334.46,10.5968,9.0721,9.17209,0,All,#4682B4,0
34,25,575.03,575.03,19.1146,15.741,15.9582,0,All,#4682B4,0
34,26,708.31,708.31,21.5082,17.5749,17.8271,0,All,#4682B4,0
34,27,761.83,761.83,24.2019,19.6227,19.9152,0,All,#4682B4,0
34,28,816.5,816.5,27.2321,21.9094,22.2482,0,All,#4682B4,0
34,32,864.2,864.2,43.6553,34.0474,34.6497,0,All,#4682B4,0
34,33,965.91,965.91,49.1224,38.0142,38.7081,0,All,#4682B4,0
34,34,965.06,965.06,55.2726,42.4441,43.2424,0,All,#4682B4,0
35,11,66.99,66.99,3.66351,3.46402,3.43673,0,All,#4682B4,0
35,12,98.72,98.72,4.12295,3.87865,3.84532,0,All,#4682B4,0
35,13,123.34,123.34,4.63991,4.34279,4.30237,0,All,#4682B4,0
35,14,123.04,123.04,5.22094,4.86181,4.8131,0,All,#4682B4,0
35,17,207.6,207.6,7.43817,6.82153,6.73864,0,All,#4682B4,0
35,18,275.11,275.11,8.36956,7.63676,7.53854,0,All,#4682B4,0
35,19,368.24,368.24,9.41765,8.54949,8.43345,0,All,#4682B4,0
35,20,380.36,380.36,10.5968,9.57109,9.43441,0,All,#4682B4,0
35,25,709.08,709.08,19.1146,16.8306,16.5307,0,All,#4682B4,0
35,26,733.74,733.74,21.5082,18.8418,18.4927,0,All,#4682B4,0
35,27,685,685,24.2019,21.0938,20.6881,0,All,#4682B4,0
35,28,842.32,842.32,27.2321,23.6149,23.1441,0,All,#4682B4,0
35,32,1121.91,1121.91,43.6553,37.0927,36.2488,0,All,#4682B4,0
35,33,1222.6,1222.6,49.1224,41.5259,40.5519,0,All,#4682B4,0
35,34,1162.52,1162.52,55.2726,46.4891,45.3661,0,All,#4682B4,0
36,11,50.67,50.67,3.66351,3.48889,3.45905,0,All,#4682B4,0
36,12,75.35,75.35,4.12295,3.90904,3.87258,0,All,#4682B4,0
36,13,68.59,68.59,4.63991,4.37966,4.33542,0,All,#4682B4,0
36,14,95.24,95.24,5.22094,4.90628,4.85293,0,All,#4682B4,0
36,17,221.76,221.76,7.43817,6.89737,6.80641,0,All,#4682B4,0
36,18,284.99,284.99,8.36956,7.72668,7.61883,0,All,#4682B4,0
36,19,390.52,390.52,9.41765,8.65578,8.52831,0,All,#4682B4,0
36,20,311.91,311.91,10.5968,9.69638,9.54613,0,All,#4682B4,0
36,25,926.84,926.84,19.1146,17.1065,16.7758,0,All,#4682B4,0
36,26,794.18,794.18,21.5082,19.1631,18.7779,0,All,#4682B4,0
36,27,784.41,784.41,24.2019,21.4675,21.0195,0,All,#4682B4,0
