ID,time,pop,popPred,indivPredMean,indivPredMode
1,31.12,39.3468,39.3468,39.796,38.3116
1,31.1482,39.4781,39.4781,39.9293,38.4386
1,31.2,39.7199,39.7199,40.1746,38.6723
1,31.2418,39.9161,39.9161,40.3736,38.8619
1,31.28,40.0966,40.0966,40.5567,39.0364
1,31.3355,40.3602,40.3602,40.8242,39.2911
1,31.36,40.4768,40.4768,40.9425,39.4038
1,31.4296,40.8106,40.8106,41.2812,39.7264
1,31.44,40.8607,40.8607,41.332,39.7748
1,31.52,41.2482,41.2482,41.7252,40.1492
1,31.524,41.2675,41.2675,41.7448,40.1679
1,31.6,41.6393,41.6393,42.1221,40.5272
1,31.6186,41.7308,41.7308,42.215,40.6156
1,31.68,42.0342,42.0342,42.5228,40.9087
1,31.7135,42.2008,42.2008,42.6919,41.0697
1,31.76,42.4328,42.4328,42.9273,41.2939
1,31.8087,42.6775,42.6775,43.1756,41.5302
1,31.84,42.8352,42.8352,43.3357,41.6826
1,31.9042,43.161,43.161,43.6663,41.9973
1,31.92,43.2415,43.2415,43.7479,42.075
1,32,43.6515,43.6515,44.1641,42.4711
2,22,13.4131,13.4131,16.0718,15.3582
2,22.066,13.5188,13.5188,16.2074,15.4856
2,22.08,13.5411,13.5411,16.2361,15.5126
2,22.1323,13.6249,13.6249,16.3436,15.6136
2,22.16,13.6695,13.6695,16.4008,15.6674
2,22.1987,13.7321,13.7321,16.4812,15.7429
2,22.24,13.7991,13.7991,16.5673,15.8238
2,22.2654,13.8405,13.8405,16.6204,15.8737
2,22.32,13.93,13.93,16.7354,15.9817
2,22.3322,13.9501,13.9501,16.7612,16.006
2,22.3993,14.0609,14.0609,16.9036,16.1397
2,22.4,14.0621,14.0621,16.9052,16.1412
2,22.4665,14.1729,14.1729,17.0477,16.275
2,22.48,14.1955,14.1955,17.0767,16.3023
2,22.5339,14.2861,14.2861,17.1934,16.4118
2,22.56,14.3301,14.3301,17.25,16.465
2,22.6016,14.4006,14.4006,17.3408,16.5502
2,22.64,14.466,14.466,17.4251,16.6293
2,22.6694,14.5163,14.5163,17.4899,16.6902
2,22.72,14.6032,14.6032,17.6019,16.7953
2,22.7375,14.6334,14.6334,17.6408,16.8318
2,22.8,14.7417,14.7417,17.7805,16.963
2,22.8058,14.7517,14.7517,17.7934,16.9751
2,22.8742,14.8713,14.8713,17.9478,17.12
2,22.88,14.8815,14.8815,17.9609,17.1322
2,22.9429,14.9923,14.9923,18.1041,17.2665
2,22.96,15.0226,15.0226,18.1432,17.3033
2,23.0118,15.1146,15.1146,18.2622,17.4149
2,23.04,15.1651,15.1651,18.3275,17.4761
2,23.0808,15.2384,15.2384,18.4223,17.565
2,23.12,15.3091,15.3091,18.5137,17.6507
2,23.1501,15.3637,15.3637,18.5843,17.717
2,23.2,15.4544,15.4544,18.7018,17.8271
2,23.2196,15.4903,15.4903,18.7483,17.8707
2,23.28,15.6012,15.6012,18.8919,18.0053
2,23.2893,15.6184,15.6184,18.9143,18.0263
2,23.3593,15.748,15.748,19.0822,18.1837
2,23.36,15.7494,15.7494,19.084,18.1854
2,23.4294,15.8791,15.8791,19.2521,18.343
2,23.44,15.899,15.899,19.278,18.3672
2,23.4997,16.0116,16.0116,19.4241,18.5041
2,23.52,16.0501,16.0501,19.4739,18.5508
2,23.5703,16.1457,16.1457,19.598,18.6671
2,23.6,16.2025,16.2025,19.6718,18.7362
2,23.641,16.2813,16.2813,19.7741,18.832
2,23.68,16.3564,16.3564,19.8717,18.9235
2,23.712,16.4184,16.4184,19.9521,18.9989
2,23.76,16.5117,16.5117,20.0735,19.1125
2,23.7832,16.557,16.557,20.1323,19.1676
2,23.84,16.6684,16.6684,20.2772,19.3033
2,23.8546,16.6972,16.6972,20.3145,19.3383
2,23.92,16.8266,16.8266,20.4829,19.496
2,23.9262,16.8389,16.8389,20.4989,19.511
2,23.998,16.9822,16.9822,20.6856,19.6857
2,24,16.9861,16.9861,20.6907,19.6905
2,24.0701,17.1271,17.1271,20.8745,19.8625
2,24.08,17.1472,17.1472,20.9007,19.887
2,24.1423,17.2737,17.2737,21.0657,20.0415
2,24.16,17.3098,17.3098,21.1128,20.0855
2,24.2148,17.4221,17.4221,21.2593,20.2226
2,24.24,17.4739,17.4739,21.327,20.286
2,24.2875,17.5721,17.5721,21.4552,20.4059
2,24.32,17.6396,17.6396,21.5434,20.4884
2,24.3604,17.7239,17.7239,21.6535,20.5914
2,24.4,17.8069,17.8069,21.762,20.6929
2,24.4335,17.8775,17.8775,21.8543,20.7792
2,24.48,17.9758,17.9758,21.9829,20.8995
2,24.5069,18.0329,18.0329,22.0576,20.9693
2,24.56,18.1463,18.1463,22.206,21.1081
2,24.5805,18.1901,18.1901,22.2634,21.1617
2,24.64,18.3184,18.3184,22.4313,21.3187
2,24.6542,18.3492,18.3492,22.4717,21.3565
2,24.72,18.4921,18.4921,22.6589,21.5315
2,24.7283,18.5101,18.5101,22.6826,21.5536
2,24.8,18.6675,18.6675,22.8889,21.7465
2,24.8025,18.673,18.673,22.8961,21.7532
2,24.877,18.8378,18.8378,23.1123,21.9552
2,24.88,18.8445,18.8445,23.1212,21.9635
2,24.9516,19.0045,19.0045,23.3312,22.1597
2,24.96,19.0232,19.0232,23.3558,22.1827
2,25.0265,19.1732,19.1732,23.5528,22.3667
2,25.04,19.2037,19.2037,23.5928,22.4041
2,25.1017,19.3439,19.3439,23.7771,22.5763
2,25.12,19.3858,19.3858,23.8322,22.6277
2,25.177,19.5167,19.5167,24.0043,22.7885
2,25.2,19.5696,19.5696,24.074,22.8535
2,25.2526,19.6915,19.6915,24.2343,23.0033
2,25.28,19.7552,19.7552,24.3182,23.0816
2,25.3284,19.8684,19.8684,24.4673,23.2207
2,25.36,19.9425,19.9425,24.565,23.3119
2,25.4045,20.0474,20.0474,24.7032,23.4409
2,25.44,20.1316,20.1316,24.8142,23.5446
2,25.4807,20.2286,20.2286,24.9421,23.6639
2,25.52,20.3225,20.3225,25.066,23.7795
2,25.5572,20.4119,20.4119,25.184,23.8897
2,25.6,20.5152,20.5152,25.3203,24.0169
2,25.6339,20.5975,20.5975,25.4291,24.1183
2,25.68,20.7097,20.7097,25.5773,24.2566
2,25.7109,20.7854,20.7854,25.6772,24.3498
2,25.76,20.9061,20.9061,25.8369,24.4987
2,25.7881,20.9755,20.9755,25.9286,24.5842
2,25.84,21.1044,21.1044,26.0991,24.7432
2,25.8655,21.168,21.168,26.1832,24.8217
2,25.92,21.3045,21.3045,26.3639,24.9902
2,25.9431,21.3628,21.3628,26.4411,25.0621
2,26,21.5066,21.5066,26.6315,25.2396
2,26.021,21.56,21.56,26.7023,25.3056
2,26.08,21.7105,21.7105,26.9017,25.4915
2,26.0991,21.7596,21.7596,26.9668,25.5522
2,26.16,21.9164,21.9164,27.1748,25.746
2,26.1775,21.9617,21.9617,27.2348,25.802
2,26.24,22.1243,22.1243,27.4505,26.003
2,26.2561,22.1663,22.1663,27.5063,26.055
2,26.32,22.3341,22.3341,27.7291,26.2625
