ID,time,Observation,median,piLower,piUpper,censored
39,18,213.09,3.89573,-500.038,583.2,0
39,19,230.31,15.6774,-593.47,591.234,0
40,11,52.06,5.65784,-210.384,223.784,0
40,12,78.57,-6.42158,-271.282,263.346,0
40,13,100.28,4.05445,-289.623,275.925,0
40,14,126.9,17.2632,-343.502,321.833,0
40,17,203.55,-10.8872,-459.69,515.782,0
40,18,229.95,35.0202,-479.169,495.172,0
40,19,317.81,-17.5311,-646.85,629.497,0
41,11,79.35,7.78944,-229.912,217.109,0
41,12,73.23,8.24533,-259.485,237.718,0
41,13,101.94,8.27996,-287.935,277.579,0
41,14,111.47,-20.663,-313.947,329.692,0
41,17,275.86,21.4911,-432.779,471.224,0
41,18,292.22,24.6525,-493.661,535.911,0
41,19,359.22,0.905924,-601.5,542.964,0
42,11,107.1,13.8494,-220.79,234.176,0
42,12,99.19,2.78095,-258.917,267.529,0
42,13,163.64,6.8916,-317.259,309.744,0
42,14,149.04,-11.7216,-372.86,302.173,0
42,17,296.61,-8.78984,-426.03,461.571,0
42,18,510.43,41.2184,-480.413,556.647,0
42,19,403.52,19.9297,-588.616,588.06,0
43,11,0,1.94377,-215.01,234.267,0
43,12,51.28,14.0983,-254.287,253.299,0
43,13,166.45,7.92614,-264.604,284.784,0
43,14,131.35,-13.8691,-339.429,288.195,0
43,17,213.16,-19.6102,-480.224,467.424,0
43,18,352.45,-0.05505,-491.585,589.322,0
43,19,514.64,39.9094,-572.415,708.935,0
44,11,142.42,2.44589,-219.015,232.591,0
44,12,147.88,-5.52845,-250.91,239.093,0
44,13,202.34,-3.12536,-271.958,319.775,0
44,14,189.33,-20.7726,-329.383,290.462,0
44,17,333.92,-4.87277,-479.497,403.108,0
44,18,542.24,28.9725,-492.067,554.883,0
44,19,543.19,-17.0751,-620.078,635.808,0
45,11,74.21,-5.53682,-221.641,227.283,0
45,12,69.76,-4.86092,-245.444,239.069,0
45,13,102.46,8.98055,-243.003,303.94,0
45,14,137.15,32.989,-303.854,359.267,0
45,17,196.7,17.9627,-459.876,472.935,0
45,18,256.49,4.21788,-538.618,534.974,0
