pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
0.704048,0.365646,0.817906,0.365646,0.761523,0.365646,All
0.704566,0.367347,0.820038,0.367347,0.76183,0.367347,All
0.711216,0.369048,0.823379,0.369048,0.763002,0.369048,All
0.714085,0.370748,0.823809,0.370748,0.765623,0.370748,All
0.719051,0.372449,0.824149,0.372449,0.766076,0.372449,All
0.719219,0.37415,0.825643,0.37415,0.76657,0.37415,All
0.7197,0.37585,0.825743,0.37585,0.771321,0.37585,All
0.720475,0.377551,0.825895,0.377551,0.773479,0.377551,All
0.723136,0.379252,0.826645,0.379252,0.774625,0.379252,All
0.723271,0.380952,0.826968,0.380952,0.776551,0.380952,All
0.731325,0.382653,0.827152,0.382653,0.782109,0.382653,All
0.731473,0.384354,0.827609,0.384354,0.782306,0.384354,All
0.732188,0.386054,0.82779,0.386054,0.786626,0.386054,All
0.732368,0.387755,0.828194,0.387755,0.787751,0.387755,All
0.735279,0.389456,0.828644,0.389456,0.791739,0.389456,All
0.736487,0.391156,0.830186,0.391156,0.793351,0.391156,All
0.736747,0.392857,0.830869,0.392857,0.795218,0.392857,All
0.738658,0.394558,0.831853,0.394558,0.795391,0.394558,All
0.738886,0.396259,0.835759,0.396259,0.796136,0.396259,All
0.739617,0.397959,0.838852,0.397959,0.796675,0.397959,All
0.740137,0.39966,0.83969,0.39966,0.796734,0.39966,All
0.743099,0.401361,0.842115,0.401361,0.797609,0.401361,All
0.744743,0.403061,0.844059,0.403061,0.798671,0.403061,All
0.746058,0.404762,0.844148,0.404762,0.800312,0.404762,All
0.747529,0.406463,0.846481,0.406463,0.800368,0.406463,All
0.748234,0.408163,0.846796,0.408163,0.800861,0.408163,All
0.74861,0.409864,0.847264,0.409864,0.80175,0.409864,All
0.748714,0.411565,0.848262,0.411565,0.802923,0.411565,All
0.749444,0.413265,0.849637,0.413265,0.803222,0.413265,All
0.749963,0.414966,0.849838,0.414966,0.805762,0.414966,All
0.753571,0.416667,0.850633,0.416667,0.807168,0.416667,All
0.754104,0.418367,0.850757,0.418367,0.807881,0.418367,All
0.754644,0.420068,0.851915,0.420068,0.808339,0.420068,All
0.754753,0.421769,0.854504,0.421769,0.808814,0.421769,All
0.755196,0.423469,0.855032,0.423469,0.809708,0.423469,All
0.756207,0.42517,0.855769,0.42517,0.809768,0.42517,All
0.759058,0.426871,0.862492,0.426871,0.810917,0.426871,All
0.759101,0.428571,0.86314,0.428571,0.811116,0.428571,All
0.760508,0.430272,0.863735,0.430272,0.812248,0.430272,All
0.761126,0.431973,0.867576,0.431973,0.814193,0.431973,All
0.761245,0.433673,0.869853,0.433673,0.814718,0.433673,All
0.762094,0.435374,0.870781,0.435374,0.817394,0.435374,All
0.764148,0.437075,0.872586,0.437075,0.81786,0.437075,All
0.767087,0.438776,0.873531,0.438776,0.817875,0.438776,All
0.767496,0.440476,0.873767,0.440476,0.820028,0.440476,All
0.767653,0.442177,0.87513,0.442177,0.821279,0.442177,All
0.768702,0.443878,0.877295,0.443878,0.822211,0.443878,All
0.76883,0.445578,0.877299,0.445578,0.822862,0.445578,All
0.770625,0.447279,0.87732,0.447279,0.827797,0.447279,All
0.774243,0.44898,0.878397,0.44898,0.829113,0.44898,All
0.77729,0.45068,0.881004,0.45068,0.829217,0.45068,All
0.777352,0.452381,0.883292,0.452381,0.831427,0.452381,All
0.778425,0.454082,0.883416,0.454082,0.832123,0.454082,All
0.781308,0.455782,0.883692,0.455782,0.833012,0.455782,All
0.781616,0.457483,0.88386,0.457483,0.833595,0.457483,All
0.78277,0.459184,0.883947,0.459184,0.834686,0.459184,All
0.784021,0.460884,0.884533,0.460884,0.835849,0.460884,All
0.787464,0.462585,0.884809,0.462585,0.84036,0.462585,All
0.78799,0.464286,0.884933,0.464286,0.840693,0.464286,All
0.78801,0.465986,0.886374,0.465986,0.841661,0.465986,All
0.788768,0.467687,0.889942,0.467687,0.841797,0.467687,All
0.788875,0.469388,0.890358,0.469388,0.842625,0.469388,All
0.791444,0.471088,0.890371,0.471088,0.843037,0.471088,All
0.794304,0.472789,0.896656,0.472789,0.844514,0.472789,All
0.795963,0.47449,0.897578,0.47449,0.848043,0.47449,All
0.796736,0.47619,0.898448,0.47619,0.849671,0.47619,All
0.797181,0.477891,0.899701,0.477891,0.849996,0.477891,All
0.798522,0.479592,0.899881,0.479592,0.850116,0.479592,All
0.80002,0.481293,0.899885,0.481293,0.852808,0.481293,All
0.800739,0.482993,0.901871,0.482993,0.854505,0.482993,All
0.805198,0.484694,0.905162,0.484694,0.856038,0.484694,All
0.806263,0.486395,0.905432,0.486395,0.856691,0.486395,All
0.807062,0.488095,0.908963,0.488095,0.857148,0.488095,All
0.807688,0.489796,0.909597,0.489796,0.85746,0.489796,All
0.808808,0.491497,0.909609,0.491497,0.857561,0.491497,All
0.810637,0.493197,0.910791,0.493197,0.857696,0.493197,All
0.81097,0.494898,0.914621,0.494898,0.858031,0.494898,All
0.814904,0.496599,0.915258,0.496599,0.859644,0.496599,All
0.815923,0.498299,0.917097,0.498299,0.861581,0.498299,All
0.816653,0.5,0.91834,0.5,0.862998,0.5,All
0.816891,0.501701,0.919047,0.501701,0.863155,0.501701,All
0.816963,0.503401,0.923766,0.503401,0.865637,0.503401,All
0.817069,0.505102,0.925379,0.505102,0.866145,0.505102,All
0.819451,0.506803,0.926637,0.506803,0.866831,0.506803,All
0.820541,0.508503,0.932575,0.508503,0.867676,0.508503,All
0.825954,0.510204,0.93301,0.510204,0.868685,0.510204,All
0.82761,0.511905,0.934582,0.511905,0.871731,0.511905,All
0.831173,0.513605,0.9405,0.513605,0.872114,0.513605,All
0.833399,0.515306,0.940996,0.515306,0.875713,0.515306,All
0.835654,0.517007,0.942129,0.517007,0.876104,0.517007,All
0.84087,0.518707,0.943392,0.518707,0.877224,0.518707,All
0.840914,0.520408,0.944244,0.520408,0.877468,0.520408,All
0.841709,0.522109,0.946077,0.522109,0.879917,0.522109,All
0.842731,0.52381,0.946389,0.52381,0.881444,0.52381,All
0.842799,0.52551,0.947821,0.52551,0.883392,0.52551,All
0.842965,0.527211,0.948199,0.527211,0.8902,0.527211,All
0.845629,0.528912,0.948601,0.528912,0.892029,0.528912,All
0.846306,0.530612,0.949739,0.530612,0.892404,0.530612,All
0.847315,0.532313,0.950628,0.532313,0.892951,0.532313,All
0.848408,0.534014,0.950691,0.534014,0.895086,0.534014,All
0.84869,0.535714,0.952584,0.535714,0.898294,0.535714,All
0.851531,0.537415,0.953358,0.537415,0.898605,0.537415,All
0.855576,0.539116,0.954836,0.539116,0.899257,0.539116,All
0.857565,0.540816,0.956329,0.540816,0.899786,0.540816,All
0.867946,0.542517,0.956617,0.542517,0.901303,0.542517,All
0.869532,0.544218,0.957629,0.544218,0.905436,0.544218,All
0.87716,0.545918,0.958208,0.545918,0.906968,0.545918,All
0.877866,0.547619,0.958466,0.547619,0.908696,0.547619,All
0.878132,0.54932,0.958568,0.54932,0.913509,0.54932,All
0.87858,0.55102,0.958886,0.55102,0.920975,0.55102,All
0.88272,0.552721,0.959194,0.552721,0.922899,0.552721,All
0.885721,0.554422,0.959343,0.554422,0.923822,0.554422,All
0.888713,0.556122,0.959379,0.556122,0.924064,0.556122,All
0.890806,0.557823,0.959598,0.557823,0.925982,0.557823,All
0.893287,0.559524,0.960025,0.559524,0.927028,0.559524,All
0.893568,0.561224,0.961186,0.561224,0.928893,0.561224,All
0.895576,0.562925,0.962942,0.562925,0.928913,0.562925,All
0.896327,0.564626,0.964362,0.564626,0.92899,0.564626,All
0.896807,0.566327,0.964424,0.566327,0.930477,0.566327,All
0.897256,0.568027,0.965093,0.568027,0.934494,0.568027,All
0.897583,0.569728,0.967372,0.569728,0.934551,0.569728,All
0.898146,0.571429,0.967629,0.571429,0.936066,0.571429,All
0.898924,0.573129,0.96779,0.573129,0.941096,0.573129,All
0.900897,0.57483,0.968664,0.57483,0.945787,0.57483,All
0.901259,0.576531,0.968815,0.576531,0.946802,0.576531,All
0.902417,0.578231,0.969178,0.578231,0.950059,0.578231,All
0.903974,0.579932,0.969532,0.579932,0.950873,0.579932,All
0.905102,0.581633,0.969679,0.581633,0.954433,0.581633,All
0.909353,0.583333,0.969682,0.583333,0.956863,0.583333,All
0.910447,0.585034,0.969774,0.585034,0.956957,0.585034,All
0.910508,0.586735,0.972163,0.586735,0.959702,0.586735,All
0.91548,0.588435,0.973926,0.588435,0.961303,0.588435,All
0.915755,0.590136,0.974714,0.590136,0.961303,0.590136,All
0.920097,0.591837,0.975351,0.591837,0.962008,0.591837,All
0.920182,0.593537,0.975499,0.593537,0.965292,0.593537,All
0.923593,0.595238,0.976274,0.595238,0.965398,0.595238,All
0.924097,0.596939,0.977511,0.596939,0.968379,0.596939,All
0.924548,0.598639,0.977859,0.598639,0.978728,0.598639,All
0.927709,0.60034,0.97841,0.60034,0.980919,0.60034,All
0.927762,0.602041,0.980462,0.602041,0.982553,0.602041,All
0.930515,0.603741,0.980666,0.603741,0.984102,0.603741,All
0.931253,0.605442,0.982207,0.605442,0.989234,0.605442,All
0.931469,0.607143,0.982976,0.607143,0.98964,0.607143,All
0.933167,0.608844,0.986072,0.608844,0.991866,0.608844,All
0.934601,0.610544,0.986454,0.610544,0.993453,0.610544,All
0.938115,0.612245,0.988347,0.612245,0.994842,0.612245,All
0.939418,0.613946,0.989547,0.613946,0.995293,0.613946,All
0.941134,0.615646,0.989839,0.615646,0.999352,0.615646,All
0.942536,0.617347,0.994061,0.617347,0.999355,0.617347,All
0.943934,0.619048,0.99426,0.619048,0.999841,0.619048,All
0.947661,0.620748,0.997108,0.620748,1,0.620748,All
0.95058,0.622449,0.997167,0.622449,1.00524,0.622449,All
0.951629,0.62415,1.00063,0.62415,1.00739,0.62415,All
0.952755,0.62585,1.00648,0.62585,1.00848,0.62585,All
0.955227,0.627551,1.00694,0.627551,1.00889,0.627551,All
0.956721,0.629252,1.00941,0.629252,1.01095,0.629252,All
0.957003,0.630952,1.0109,0.630952,1.01259,0.630952,All
0.963951,0.632653,1.01361,0.632653,1.01504,0.632653,All
0.964996,0.634354,1.01385,0.634354,1.0204,0.634354,All
0.968377,0.636054,1.01504,0.636054,1.02157,0.636054,All
0.969359,0.637755,1.01674,0.637755,1.02412,0.637755,All
0.970079,0.639456,1.01693,0.639456,1.0243,0.639456,All
0.971052,0.641156,1.01751,0.641156,1.02463,0.641156,All
0.972468,0.642857,1.01846,0.642857,1.02649,0.642857,All
0.974516,0.644558,1.01878,0.644558,1.03492,0.644558,All
0.977743,0.646259,1.01957,0.646259,1.03514,0.646259,All
0.982505,0.647959,1.01963,0.647959,1.03701,0.647959,All
0.985326,0.64966,1.02029,0.64966,1.03861,0.64966,All
0.985638,0.651361,1.02049,0.651361,1.04228,0.651361,All
0.986456,0.653061,1.0217,0.653061,1.0435,0.653061,All
0.986516,0.654762,1.02298,0.654762,1.04362,0.654762,All
0.98662,0.656463,1.02344,0.656463,1.04379,0.656463,All
0.992878,0.658163,1.02451,0.658163,1.05096,0.658163,All
0.99325,0.659864,1.02914,0.659864,1.0514,0.659864,All
0.997589,0.661565,1.02977,0.661565,1.05195,0.661565,All
0.997842,0.663265,1.03298,0.663265,1.05567,0.663265,All
1.00272,0.664966,1.03388,0.664966,1.05773,0.664966,All
1.00384,0.666667,1.03583,0.666667,1.05891,0.666667,All
1.00433,0.668367,1.03686,0.668367,1.0623,0.668367,All
1.00545,0.670068,1.03886,0.670068,1.06261,0.670068,All
1.00619,0.671769,1.04034,0.671769,1.06321,0.671769,All
1.00675,0.673469,1.04356,0.673469,1.06462,0.673469,All
1.01104,0.67517,1.04399,0.67517,1.07129,0.67517,All
1.01253,0.676871,1.04405,0.676871,1.07171,0.676871,All
1.01263,0.678571,1.04906,0.678571,1.07189,0.678571,All
1.01752,0.680272,1.05568,0.680272,1.07443,0.680272,All
1.01861,0.681973,1.05603,0.681973,1.07822,0.681973,All
1.02273,0.683673,1.05675,0.683673,1.08099,0.683673,All
1.0251,0.685374,1.06732,0.685374,1.08237,0.685374,All
1.02528,0.687075,1.07099,0.687075,1.0835,0.687075,All
1.02712,0.688776,1.07282,0.688776,1.08669,0.688776,All
