ID,time,prediction_pwRes,pwRes,pwRes_simBlq,prediction_iwRes_mean,iwRes_mean,iwRes_mean_simBlq,prediction_iwRes_mode,iwRes_mode,iwRes_mode_simBlq,prediction_npde,npde,npde_simBlq,censored,split,color,filter
17,17,7.43818,1.36575,1.36575,8.60014,1.18519,1.18519,8.78043,1.1603,1.1603,7.43818,1.349,1.349,0,All,#4682B4,0
17,19,9.41758,1.74462,1.74462,11.0765,1.54935,1.54935,11.3364,1.51322,1.51322,9.41758,1.73437,1.73437,0,All,#4682B4,0
17,21,11.9239,1.43441,1.43441,14.2657,1.29129,1.29129,14.6361,1.25793,1.25793,11.9239,1.45811,1.45811,0,All,#4682B4,0
17,24,16.9877,1.6373,1.6373,20.8514,1.29607,1.29607,21.4713,1.25788,1.25788,16.9877,1.6196,1.6196,0,All,#4682B4,0
17,27,24.2018,1.38486,1.38486,30.4773,1.26762,1.26762,31.4985,1.22565,1.22565,24.2018,1.34722,1.34722,0,All,#4682B4,0
18,7,2.28534,1.31689,1.31689,2.75058,1.15267,1.15267,2.73109,1.16109,1.16109,2.28534,1.23086,1.23086,0,All,#4682B4,0
18,10,3.25687,1.38272,1.38272,4.24388,1.13971,1.13971,4.20098,1.15163,1.15163,3.25687,1.35199,1.35199,0,All,#4682B4,0
18,11,3.6647,1.48776,1.48776,4.90345,1.14078,1.14078,4.84895,1.1539,1.1539,3.6647,1.52035,1.52035,0,All,#4682B4,0
18,13,4.64001,2.69133,2.69133,6.54594,1.94325,1.94325,6.46004,1.96945,1.96945,4.64001,2.65586,2.65586,0,All,#4682B4,0
18,15,5.87482,2.3201,2.3201,8.73848,1.57902,1.57902,8.6063,1.60368,1.60368,5.87482,2.22984,2.22984,0,All,#4682B4,0
18,17,7.43818,2.30831,2.30831,11.6655,1.62318,1.62318,11.4657,1.65193,1.65193,7.43818,1.98125,1.98125,0,All,#4682B4,0
18,19,9.41758,2.89937,2.89937,15.573,1.99046,1.99046,15.2752,2.02979,2.02979,9.41758,2.75049,2.75049,0,All,#4682B4,0
18,21,11.9239,2.2915,2.2915,20.7895,1.44859,1.44859,20.3506,1.48042,1.48042,11.9239,2.17074,2.17074,0,All,#4682B4,0
18,24,16.9877,1.9492,1.9492,32.0663,1.09146,1.09146,31.2937,1.11907,1.11907,16.9877,1.92585,1.92585,0,All,#4682B4,0
18,27,24.2018,1.7376,1.7376,49.4605,0.958657,0.958657,48.1219,0.986072,0.986072,24.2018,1.70142,1.70142,0,All,#4682B4,0
19,7,2.28534,0.920182,0.920182,2.53094,0.875211,0.875211,2.52503,0.87732,0.87732,2.28534,0.872114,0.872114,0,All,#4682B4,0
19,10,3.25687,2.0523,2.0523,3.76817,1.71731,1.71731,3.75562,1.72314,1.72314,3.25687,2.06234,2.06234,0,All,#4682B4,0
19,11,3.6647,1.5944,1.5944,4.30231,1.36011,1.36011,4.28655,1.36521,1.36521,3.6647,1.62811,1.62811,0,All,#4682B4,0
19,13,4.64001,1.5605,1.5605,5.60845,1.31076,1.31076,5.58418,1.31657,1.31657,4.64001,1.53934,1.53934,0,All,#4682B4,0
19,15,5.87482,1.55046,1.55046,7.31107,1.20036,1.20036,7.27458,1.20651,1.20651,5.87482,1.63551,1.63551,0,All,#4682B4,0
19,17,7.43818,1.62164,1.62164,9.53054,1.28503,1.28503,9.47665,1.29249,1.29249,7.43818,1.70376,1.70376,0,All,#4682B4,0
19,19,9.41758,1.93683,1.93683,12.4242,1.50809,1.50809,12.3457,1.51785,1.51785,9.41758,1.94509,1.94509,0,All,#4682B4,0
19,21,11.9239,1.56418,1.56418,16.1961,1.1672,1.1672,16.0831,1.17559,1.17559,11.9239,1.41704,1.41704,0,All,#4682B4,0
19,24,16.9877,1.91247,1.91247,24.106,1.38391,1.38391,23.9138,1.39525,1.39525,16.9877,1.82183,1.82183,0,All,#4682B4,0
19,27,24.2018,1.37132,1.37132,35.8783,1.11575,1.11575,35.5567,1.12609,1.12609,24.2018,1.48116,1.48116,0,All,#4682B4,0
20,7,2.28534,0.691954,0.691954,2.61781,0.668387,0.668387,2.57477,0.680008,0.680008,2.28534,0.684223,0.684223,0,All,#4682B4,0
20,10,3.25687,1.18226,1.18226,3.95429,0.951273,0.951273,3.86174,0.974714,0.974714,3.25687,1.19024,1.19024,0,All,#4682B4,0
20,11,3.6647,1.65958,1.65958,4.53665,1.44318,1.44318,4.41998,1.48198,1.48198,3.6647,1.54583,1.54583,0,All,#4682B4,0
20,13,4.64001,1.78449,1.78449,5.97122,1.48454,1.48454,5.79017,1.5318,1.5318,4.64001,1.81497,1.81497,0,All,#4682B4,0
20,15,5.87482,2.06917,2.06917,7.85939,1.48182,1.48182,7.58507,1.53638,1.53638,5.87482,2.17462,2.17462,0,All,#4682B4,0
20,17,7.43818,1.90317,1.90317,10.3446,1.35768,1.35768,9.93635,1.41456,1.41456,7.43818,1.75746,1.75746,0,All,#4682B4,0
20,19,9.41758,2.64813,2.64813,13.6159,1.84464,1.84464,13.0168,1.93078,1.93078,9.41758,2.53503,2.53503,0,All,#4682B4,0
20,21,11.9239,1.71943,1.71943,17.9219,1.2124,1.2124,17.0523,1.27559,1.27559,11.9239,1.66936,1.66936,0,All,#4682B4,0
20,24,16.9877,1.23328,1.23328,27.0627,0.864943,0.864943,25.5675,0.917097,0.917097,16.9877,1.26207,1.26207,0,All,#4682B4,0
20,27,24.2018,1.84937,1.84937,40.8662,1.1351,1.1351,38.3347,1.21183,1.21183,24.2018,1.74984,1.74984,0,All,#4682B4,0
21,22,13.4131,0.885721,0.885721,12.5073,0.96355,0.96355,12.4431,0.968664,0.968664,13.4131,0.950059,0.950059,0,All,#4682B4,0
21,24,16.9879,0.664527,0.664527,15.7404,0.849565,0.849565,15.6522,0.854504,0.854504,16.9879,0.697712,0.697712,0,All,#4682B4,0
21,26,21.5087,0.930515,0.930515,19.8031,0.952229,0.952229,19.6829,0.958208,0.958208,21.5087,0.941096,0.941096,0,All,#4682B4,0
21,28,27.233,0.606615,0.606615,24.9145,0.786415,0.786415,24.7517,0.791765,0.791765,27.233,0.695021,0.695021,0,All,#4682B4,0
21,30,34.4804,0.580967,0.580967,31.3452,0.893216,0.893216,31.1258,0.899701,0.899701,34.4804,0.656556,0.656556,0,All,#4682B4,0
21,32,43.656,0.699629,0.699629,39.4349,0.792447,0.792447,39.1406,0.798609,0.798609,43.656,0.80175,0.80175,0,All,#4682B4,0
21,34,55.2734,0.676371,0.676371,49.6127,0.80202,0.80202,49.2193,0.808645,0.808645,55.2734,0.752074,0.752074,0,All,#4682B4,0
21,36,69.9834,0.747529,0.747529,62.4189,0.985493,0.985493,61.895,0.994061,0.994061,69.9834,0.961303,0.961303,0,All,#4682B4,0
21,38,88.6094,0.788875,0.788875,78.5299,1.07267,1.07267,77.8343,1.0825,1.0825,88.6094,0.863155,0.863155,0,All,#4682B4,0
22,22,13.4131,0.816963,0.816963,13.1282,0.882287,0.882287,12.7451,0.909609,0.909609,13.4131,0.76657,0.76657,0,All,#4682B4,0
22,24,16.9879,0.845629,0.845629,16.5947,0.895111,0.895111,16.0672,0.925379,0.925379,16.9879,0.875713,0.875713,0,All,#4682B4,0
22,26,21.5087,1.11696,1.11696,20.9699,1.24915,1.24915,20.2488,1.29459,1.29459,21.5087,1.21283,1.21283,0,All,#4682B4,0
22,28,27.233,0.760508,0.760508,26.499,0.843856,0.843856,25.519,0.877295,0.877295,27.233,0.859644,0.859644,0,All,#4682B4,0
22,30,34.4804,0.719051,0.719051,33.4857,0.792872,0.792872,32.1607,0.826645,0.826645,34.4804,0.808339,0.808339,0,All,#4682B4,0
22,32,43.656,0.794304,0.794304,42.3139,0.870123,0.870123,40.5302,0.909597,0.909597,43.656,0.831427,0.831427,0,All,#4682B4,0
22,34,55.2734,0.788768,0.788768,53.4697,0.808165,0.808165,51.078,0.847264,0.847264,55.2734,0.876104,0.876104,0,All,#4682B4,0
22,36,69.9834,0.754104,0.754104,67.5678,0.904401,0.904401,64.3724,0.950628,0.950628,69.9834,0.906968,0.906968,0,All,#4682B4,0
22,38,88.6094,0.736747,0.736747,85.3839,0.853675,0.853675,81.1268,0.899881,0.899881,88.6094,0.841661,0.841661,0,All,#4682B4,0
23,22,13.4131,0.522693,0.522693,12.2702,0.662005,0.662005,12.1324,0.669834,0.669834,13.4131,0.588083,0.588083,0,All,#4682B4,0
23,24,16.9879,0.546892,0.546892,15.4152,0.643927,0.643927,15.2263,0.652247,0.652247,16.9879,0.587922,0.587922,0,All,#4682B4,0
23,26,21.5087,0.759101,0.759101,19.3602,1.00569,1.00569,19.1034,1.01957,1.01957,21.5087,0.856691,0.856691,0,All,#4682B4,0
23,28,27.233,0.777352,0.777352,24.315,0.963169,0.963169,23.9678,0.977511,0.977511,27.233,0.81786,0.81786,0,All,#4682B4,0
23,30,34.4804,0.764148,0.764148,30.5378,0.952169,0.952169,30.0709,0.967372,0.967372,34.4804,0.802923,0.802923,0,All,#4682B4,0
23,32,43.656,0.76883,0.76883,38.3523,0.928413,0.928413,37.7271,0.944244,0.944244,43.656,0.800312,0.800312,0,All,#4682B4,0
23,34,55.2734,0.666041,0.666041,48.1668,0.859515,0.859515,47.333,0.87513,0.87513,55.2734,0.774625,0.774625,0,All,#4682B4,0
23,36,69.9834,0.684201,0.684201,60.4946,0.867836,0.867836,59.3864,0.884533,0.884533,69.9834,0.782306,0.782306,0,All,#4682B4,0
23,38,88.6094,0.662068,0.662068,75.9764,0.856358,0.856358,74.5078,0.873767,0.873767,88.6094,0.800861,0.800861,0,All,#4682B4,0
24,22,13.4131,0.618611,0.618611,11.9419,0.675977,0.675977,11.8095,0.683857,0.683857,13.4131,0.655504,0.655504,0,All,#4682B4,0
24,24,16.9879,0.619782,0.619782,14.9658,0.819825,0.819825,14.7848,0.830186,0.830186,16.9879,0.704894,0.704894,0,All,#4682B4,0
24,26,21.5087,0.842731,0.842731,18.7495,0.946469,0.946469,18.5041,0.959379,0.959379,21.5087,0.8902,0.8902,0,All,#4682B4,0
24,28,27.233,0.617314,0.617314,23.49,0.831876,0.831876,23.1591,0.844148,0.844148,27.233,0.727906,0.727906,0,All,#4682B4,0
24,30,34.4804,0.429796,0.429796,29.4291,0.60258,0.60258,28.9851,0.612223,0.612223,34.4804,0.507242,0.507242,0,All,#4682B4,0
24,32,43.656,0.48001,0.48001,36.8689,0.681027,0.681027,36.2759,0.692601,0.692601,43.656,0.524513,0.524513,0,All,#4682B4,0
24,34,55.2734,0.600792,0.600792,46.1898,0.81108,0.81108,45.4008,0.825643,0.825643,55.2734,0.663114,0.663114,0,All,#4682B4,0
24,36,69.9834,0.694544,0.694544,57.8689,0.971459,0.971459,56.8228,0.989839,0.989839,69.9834,0.821279,0.821279,0,All,#4682B4,0
24,38,88.6094,0.739617,0.739617,72.4994,1.05184,1.05184,71.1165,1.07282,1.07282,88.6094,0.811116,0.811116,0,All,#4682B4,0
25,22,13.4131,0.396829,0.396829,11.3217,0.488745,0.488745,11.0156,0.503072,0.503072,13.4131,0.385065,0.385065,0,All,#4682B4,0
25,24,16.9879,0.412368,0.412368,14.1198,0.420115,0.420115,13.7039,0.433682,0.433682,16.9879,0.468037,0.468037,0,All,#4682B4,0
